ProductURL,MainCategory,Brand,BrandTotalProducts,ProductCategory,ProductSubCategory,ProductSubsubCategory,ProductName,ProductPrice
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/short/cashmere-blend-boucle-jacquard-down-jacket/1647597295028946,Clothing,Brunello Cucinelli,207 Results,Clothing,Coats,N/A,Cashmere-blend bouclé-jacquard down jacket,9795
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/v-neck/sequin-embellished-linen-cashmere-and-silk-blend-sweater/1647597303765905,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,"Sequin-embellished linen, cashmere and silk-blend sweater",3595
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/straight-leg/cotton-poplin-straight-leg-cargo-pants/1647597303765934,Clothing,Brunello Cucinelli,207 Results,Clothing,Pants,Straight Leg,Cotton-poplin straight-leg cargo pants,2750
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/shoes/flat/embellished-suede-slides/1647597287333745,Shoes,Brunello Cucinelli,207 Results,Shoes,Sandals,Flat Sandals,Embellished suede slides,995
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/sweatshirts/satin-sweatshirt/1647597295028954,Clothing,Brunello Cucinelli,207 Results,Clothing,Tops,Sweatshirts and Hoodies,Satin sweatshirt,2395
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/midi-dresses/belted-cotton-blend-poplin-midi-shirt-dress/1647597303765923,Clothing,Brunello Cucinelli,207 Results,Clothing,Dresses,Midi Dresses,Belted cotton-blend poplin midi shirt dress,3995
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/shoes/flat/bead-embellished-leather-sandals/1647597298390312,Shoes,Brunello Cucinelli,207 Results,Shoes,Sandals,Flat Sandals,Bead-embellished leather sandals,995
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/short-and-mini/woven-shorts/1647597303765900,Clothing,Brunello Cucinelli,207 Results,Clothing,Shorts,N/A,Woven shorts,995
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/throws/fringed-cashmere-travel-blanket/1647597288658702,Home,Brunello Cucinelli,207 Results,Home,Throws and Cushions,N/A,Fringed cashmere travel blanket,1595
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/v-neck/dazzling-net-embellished-open-knit-cotton-linen-and-silk-blend-vest/1647597303556836,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,"Dazzling Net embellished open-knit cotton, linen and silk-blend vest",2350
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/casual-jackets/broderie-anglaise-cotton-bomber-jacket/1647597303570140,Clothing,Brunello Cucinelli,207 Results,Clothing,Jackets,N/A,Broderie anglaise cotton bomber jacket,2995
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/shoes/slip-ons/webbing-trimmed-suede-slingback-espadrilles/1647597298387796,Shoes,Brunello Cucinelli,207 Results,Shoes,Flat Shoes,Espadrilles,Webbing-trimmed suede slingback espadrilles,850
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/cardigans/ribbed-cotton-jacket/1647597303765922,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,Ribbed cotton jacket,2845
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/shoes/flat/bead-embellished-leather-slingback-sandals/1647597298390313,Shoes,Brunello Cucinelli,207 Results,Shoes,Sandals,Flat Sandals,Bead-embellished leather slingback sandals,1295
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/shoes/slip-ons/bead-embellished-suede-slippers/1647597298387791,Shoes,Brunello Cucinelli,207 Results,Shoes,Flat Shoes,Mules and Slip-Ons,Bead-embellished suede slippers,1195
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/round-neck/sequined-open-knit-linen-and-silk-blend-sweater/1647597303556599,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,Sequined open-knit linen and silk-blend sweater,2250
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/v-neck/dazzling-net-embellished-open-knit-cotton-linen-and-silk-blend-vest/1647597303765901,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,"Dazzling Net embellished open-knit cotton, linen and silk-blend vest",2350
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/short-and-mini/satin-jacquard-shorts/1647597303567568,Clothing,Brunello Cucinelli,207 Results,Clothing,Shorts,N/A,Satin-jacquard shorts,1850
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/straight-leg/cropped-high-rise-straight-leg-jeans/1647597303556684,Clothing,Brunello Cucinelli,207 Results,Clothing,Jeans,Straight Leg,Cropped high-rise straight-leg jeans,1595
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/shoes/low-top/bead-embellished-suede-trimmed-shell-slip-on-sneakers/1647597298387792,Shoes,Brunello Cucinelli,207 Results,Shoes,Sneakers,Low-Top,Bead-embellished suede-trimmed shell slip-on sneakers,1095
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/shoes/low-top/bead-embellished-nylon-and-suede-sneakers/1647597295862132,Shoes,Brunello Cucinelli,207 Results,Shoes,Sneakers,Low-Top,Bead-embellished nylon and suede sneakers,1350
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/v-neck/dazzling-net-sequin-embellished-cotton-linen-and-silk-blend-sweater/1647597303765895,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,"Dazzling Net sequin-embellished cotton, linen and silk-blend sweater",2950
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/blazers/twill-blazer/1647597303567928,Clothing,Brunello Cucinelli,207 Results,Clothing,Jackets,N/A,Twill blazer,4695
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/polo/cable-knit-cashmere-cardigan/1647597295028936,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Cardigan,Cable-knit cashmere cardigan,4650
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/straight-leg/cropped-sequin-embellished-ribbed-cotton-blend-straight-leg-pants/1647597303765890,Clothing,Brunello Cucinelli,207 Results,Clothing,Pants,Straight Leg,Cropped sequin-embellished ribbed cotton-blend straight-leg pants,3395
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/casual-jackets/metallic-linen-blend-jacket/1647597303558056,Clothing,Brunello Cucinelli,207 Results,Clothing,Jackets,N/A,Metallic linen-blend jacket,4595
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/round-neck/striped-ribbed-cotton-sweater/1647597303558119,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,Striped ribbed cotton sweater,1695
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/short-and-mini/embellished-satin-shorts/1647597303765896,Clothing,Brunello Cucinelli,207 Results,Clothing,Shorts,N/A,Embellished satin shorts,2195
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/blazers/double-breasted-crinkled-linen-blazer/1647597303567730,Clothing,Brunello Cucinelli,207 Results,Clothing,Jackets,N/A,Double-breasted crinkled-linen blazer,4695
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/wide-leg/sequin-embellished-cotton-linen-and-silk-blend-straight-leg-pants/1647597303567454,,Brunello Cucinelli,207 Results,N/A,N/A,N/A,"Sequin-embellished cotton, linen and silk-blend straight-leg pants",3995
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/shoes/slip-ons/bead-embellished-suede-clogs/1647597298390315,Shoes,Brunello Cucinelli,207 Results,Shoes,Flat Shoes,Mules and Slip-Ons,Bead-embellished suede clogs,1095
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/casual-jackets/hooded-quilted-shell-parka/1647597303556817,Clothing,Brunello Cucinelli,207 Results,Clothing,Jackets,N/A,Hooded quilted shell parka,6495
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/wraps/hooded-fringed-knitted-poncho/1647597295028944,Accessories,Brunello Cucinelli,207 Results,Accessories,Scarves and Wraps,N/A,Hooded fringed knitted poncho,6700
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/midi/sequined-linen-cashmere-and-silk-blend-midi-skirt/1647597303567585,Clothing,Brunello Cucinelli,207 Results,Clothing,Skirts,Midi Skirts,"Sequined linen, cashmere and silk-blend midi skirt",4400
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/collectables/large-glazed-ceramic-bowl/13452677150096826,Home,Brunello Cucinelli,207 Results,Home,Tableware,N/A,Large glazed ceramic bowl,675
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/shoes/slip-ons/bead-embellished-suede-clogs/34344356236605716,Shoes,Brunello Cucinelli,207 Results,Shoes,Mules,N/A,Bead-embellished suede clogs,995
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/shoes/low-top/bead-embellished-suede-trimmed-shell-sneakers/34344356236605728,Shoes,Brunello Cucinelli,207 Results,Shoes,Sneakers,Low-Top,Bead-embellished suede-trimmed shell sneakers,995
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/straight-leg/pleated-linen-blend-corduroy-wide-leg-pants/38063312420399701,Clothing,Brunello Cucinelli,207 Results,Clothing,Pants,Straight Leg,Pleated linen-blend corduroy wide-leg pants,1950
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/candles/lux-sphere-diffuser-and-refill-set/25458910982000554,Beauty,Brunello Cucinelli,207 Results,Beauty,Home Fragrance,Candles,Lux Sphere diffuser and refill set,275
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/midi/pleated-silk-crepe-de-chine-midi-skirt/1647597295028963,Clothing,Brunello Cucinelli,207 Results,Clothing,Skirts,Midi Skirts,Pleated silk crepe de chine midi skirt,2695
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/collectables/krion-pestle-and-walnut-wood-mortar/13452677150094877,Home,Brunello Cucinelli,207 Results,Home,Tableware,N/A,Krion pestle and walnut wood mortar,1350
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/candles/sol-sphere-diffuser-and-refill-set/2204324140425123,Beauty,Brunello Cucinelli,207 Results,Beauty,Home Fragrance,Candles,Sol Sphere diffuser and refill set,275
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/candles/astrum-sphere-diffuser-and-refill-set/2204324140425117,Beauty,Brunello Cucinelli,207 Results,Beauty,Home Fragrance,Candles,Astrum Sphere diffuser and refill set,275
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/turtleneck/cashmere-and-silk-blend-turtleneck-sweater/13452677153288182,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,Cashmere and silk-blend turtleneck sweater,1295
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/lifestyle/tableware/stainless-steel-and-horn-corkscrew/34344356237145907,Home,Brunello Cucinelli,207 Results,Home,Tableware,N/A,Stainless steel and horn corkscrew,375
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/round-neck/ribbed-metallic-cashmere-blend-sweater/13452677153288163,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,Ribbed metallic cashmere-blend sweater,1295
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/lifestyle/decorative-objects/horn-and-silver-tone-trinket-tray/1647597294527084,Home,Brunello Cucinelli,207 Results,Home,Decorative Objects,N/A,Horn and silver-tone trinket tray,550
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/turtleneck/bead-embellished-cashmere-turtleneck-sweater/13452677153288204,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,Bead-embellished cashmere turtleneck sweater,1395
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/t-shirts/sequin-embellished-stretch-cotton-jersey-t-shirt/1647597303765911,Clothing,Brunello Cucinelli,207 Results,Clothing,Tops,T-Shirts,Sequin-embellished stretch-cotton jersey T-shirt,1495
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/cardigans/hooded-jacquard-knit-mohair-blend-boucle-cardigan/46376663162454422,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Cardigan,Hooded jacquard-knit mohair-blend bouclé cardigan,9495
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/shoes/flat/bead-embellished-leather-slides/27086482323821616,Shoes,Brunello Cucinelli,207 Results,Shoes,Sandals,Flat Sandals,Bead-embellished leather slides,695
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/straight-leg/stretch-suede-straight-leg-pants/43769801095727706,Clothing,Brunello Cucinelli,207 Results,Clothing,Pants,Straight Leg,Stretch-suede straight-leg pants,5195
