Store Name,Product Category,Proudct SubCategory,Product URL,Product Title,Product Brand,Product Price
samsclub,Appliances,,https://www.samsclub.com/p/roomba-i1-wifi-vacuum/P03000647,iRobot Roomba i1 (1154) Wi-Fi Connected Robot Vacuum,iRobot Roomba,269.98
samsclub,Appliances,,https://www.samsclub.com/p/shark-wandvac-cord-free-handheld-vacuum-graphite-wv205/P03010836,"Shark WANDVAC Cord-Free Handheld Vacuum, Graphite, WV205",Shark,99.98
samsclub,Appliances,,https://www.samsclub.com/p/shark-iq-2-in-1-robot-vacuum-and-mop-with-home-mapping-wifi-ur2450wd/P03017335,"Shark IQ 2in1 Robot Vacuum & Mop with Home Mapping, Bonus Dual Edge Side Brush, Wi-Fi Connected UR2450WD",Shark,299.98
samsclub,Appliances,,https://www.samsclub.com/p/shark-iq-robot-self-empty-vacuum-self-cleaning-brushroll/P03008304,"Shark IQ Robot Self-Empty Robot Vacuum, UR1005SR, Home Mapping, Self-Cleaning Brushroll, Wi-Fi",Shark,379.98
samsclub,Appliances,,https://www.samsclub.com/p/shark-rocket-pro-corded-stick-vacuum-with-odor-neutralizer-technology-hn175/P03019392,"Shark Rocket Pro Corded Stick Vacuum with Odor Neutralizer Technology, HN175 ",Shark,159.98
samsclub,Appliances,,https://www.samsclub.com/p/bobsweep-pethair-rouge/prod20654312,bObsweep PetHair Robotic Vacuum and Mop (Assorted Colors),bObsweep,208.88
samsclub,Appliances,,https://www.samsclub.com/p/auto-joe-atj-v501-12-volt-portable-car-vacuum-cleaner/P03002912,Auto Joe ATJ-V501 12-Volt Portable Car Vacuum Cleaner,AUTO JOE,26.98
samsclub,Appliances,,https://www.samsclub.com/p/true-tidy-4pk-replacement-mop-pad-set-for-spin-800-trueclean-mop-bucket-system/P03001191,True & Tidy 4-pack Replacement Mop Pad Set for SPIN-800 TrueClean Mop and Bucket System,True & Tidy,19.98
samsclub,Appliances,,https://www.samsclub.com/p/shark-ez-robot-vacuum-w-row-by-row-cleaning-rv995/P03008306,"Shark EZ Robot Vacuum, RV995, with Row-by-Row Cleaning",Shark,229.98
samsclub,Appliances,,https://www.samsclub.com/p/salav-gs24-bj-garment-steamer-with-stainless-steel-steam-nozzle-white/prod22630432,"SALAV GS24-BJ Garment Steamer with Stainless-Steel Steam Nozzle, White",SALAV,47.98
samsclub,Appliances,,https://www.samsclub.com/p/true-tidy-spray-250-spray-mop/prod25130959,True & Tidy SPRAY-250 Spray Mop (Assorted Colors),True & Tidy,24.98
samsclub,Appliances,,https://www.samsclub.com/p/true-tidy-stm-300-multi-surface-steam-mop-1300-watt/prod22521759,"True & Tidy STM-300 Multi-Surface Steam Mop, 1300 Watt",True & Tidy,34.98
samsclub,Appliances,,https://www.samsclub.com/p/true-tidy-mp-300-reusable-microfiber-refill-mop-pads-2-pack/prod22521755,"True & Tidy MP-300 Reusable Microfiber Refill Mop Pads, 2 Pack",True & Tidy,9.98
samsclub,Appliances,,https://www.samsclub.com/p/salav-steam-mop-pad-refill-2-pack-stm402/prod18810351,SALAV Steam Mop Pad Refill 2-Pack (STM402),SALAV,11.92
samsclub,Appliances,,https://www.samsclub.com/p/true-tidy-mp250-mop-pad-replacement-3pk/prod25130960,"True & Tidy MP-250 Mop Pad Replacement for SPRAY-250 Spray Mop, 3 Pack",True & Tidy,14.98
